SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Himachal Pradesh,1901,137.8,174.5,75,19.2,89.6,32.7,280.5,459.7,53,3.9,0,19.1,1345.1,312.3,183.8,825.9,23
Himachal Pradesh,1902,6.5,27,104.4,76.2,61.3,78.8,258.6,199.3,113.4,23.6,2.5,0,951.6,33.6,241.9,650,26.1
Himachal Pradesh,1903,76.5,21.4,213.7,25.4,54.7,32.2,157.7,256.5,107.9,5.8,0.2,41.4,993.3,97.9,293.7,554.2,47.4
Himachal Pradesh,1904,79.3,22.4,131.7,48,90.3,33.1,241.1,184.3,56.4,51.6,17.3,32,987.6,101.7,270,515,100.9
Himachal Pradesh,1905,81.3,76.8,160.2,39.3,50.4,43.6,191.1,132.8,119.1,0.3,0.9,34.4,930.2,158.1,249.8,486.6,35.6
Himachal Pradesh,1906,44.1,143.9,89.5,5.3,29.9,152.6,168.7,433.7,230.9,2.9,0,15.9,1317.5,188,124.7,986,18.8
Himachal Pradesh,1907,124.2,145.1,144.9,73,34.2,23.7,95.7,200.6,18.9,14.9,0,0,875.4,269.4,252.1,338.9,14.9
Himachal Pradesh,1908,38.4,76.1,12.3,181.7,43.6,46.8,225.6,287.4,43,2.8,7.3,22.5,987.6,114.5,237.6,602.9,32.6
Himachal Pradesh,1909,111,82.1,25.4,31.7,19,107.6,292.4,234.5,105.9,17.6,0,49.9,1077,193,76.1,740.4,67.5
Himachal Pradesh,1910,49.9,48.9,42.7,48.9,46.8,133.5,408.3,355.4,174.2,37,5.5,55.8,1406.9,98.8,138.4,1071.4,98.3
Himachal Pradesh,1911,246.3,21.9,277.3,35.1,8.8,121,103.2,240.9,174.4,24,75.2,5.8,1333.8,268.1,321.3,639.5,104.9
Himachal Pradesh,1912,95.6,34.7,55.7,60.1,54.3,36.9,357.6,346.8,126.6,1,26.9,11.4,1207.6,130.3,170.1,867.9,39.3
Himachal Pradesh,1913,21.3,126.6,72.4,35.5,114.6,168,215.4,239,40.3,14.1,20.3,51.8,1119.3,147.9,222.5,662.7,86.2
Himachal Pradesh,1914,15.9,88.8,105.5,110.8,76.1,135.1,495.4,292.7,269.6,71.6,22.5,51.9,1735.9,104.7,292.4,1192.8,146.1
Himachal Pradesh,1915,62.2,100.4,90,66.6,19.4,67.5,249,380.6,157.7,23.4,0,20,1236.8,162.6,176,854.8,43.4
Himachal Pradesh,1916,10.4,75.3,33.7,41.8,35.3,238.9,275.8,254.9,118.9,86.9,0,0.2,1172.1,85.7,110.8,888.5,87.1
Himachal Pradesh,1917,20.4,30,61.8,162.9,79.8,135.1,376.3,309.8,330.3,174.4,0,22.7,1703.6,50.5,304.5,1151.5,197.1
Himachal Pradesh,1918,21.2,22.3,171.2,103.4,14.3,135.6,200.6,208.9,21.5,7.9,51,26.9,984.7,43.4,288.9,566.6,85.8
Himachal Pradesh,1919,141.3,47.4,75.6,60.4,43.5,80.1,417.3,227.8,66.5,0.7,9.8,42.9,1213.1,188.6,179.4,791.7,53.3
Himachal Pradesh,1920,53,58.1,126.1,32.8,109.4,55.6,385.1,168,76,3.3,0,17.4,1084.8,111.1,268.3,684.7,20.7
Himachal Pradesh,1921,87.8,20.9,9.1,29.6,32,42.6,264.1,465.6,195.7,57.9,0,106.1,1311.2,108.7,70.6,968,164
Himachal Pradesh,1922,106.6,57.5,68.2,87.7,13,106.8,425.8,508.1,274,14.2,6.5,50.2,1718.6,164.1,169,1314.7,70.9
Himachal Pradesh,1923,113.4,151.2,51,27.2,93,64.3,320.1,512.1,125.5,60.1,17.5,85.6,1620.9,264.6,171.1,1021.9,163.2
Himachal Pradesh,1924,50.2,135.1,63,26.6,86.7,26.6,419.3,345.5,418.6,12.4,14.9,61.7,1660.7,185.3,176.3,1210,89
Himachal Pradesh,1925,86.2,61.7,33.5,65.4,86.6,167.5,450.2,388.1,48.5,33.2,88.5,0,1509.3,147.8,185.5,1054.3,121.6
Himachal Pradesh,1926,52.9,48.6,179.7,86.3,114.4,23.9,349.6,422.9,127.9,4.2,25.1,14.3,1450,101.5,380.5,924.3,43.7
Himachal Pradesh,1927,17.5,132.5,48.2,51.4,79.1,37.9,384.7,542.4,78,37.9,5.8,19.3,1435,150,178.8,1043.1,63.1
Himachal Pradesh,1928,129,112.9,48.1,94.6,14.5,82.9,276.5,329.2,67.3,2,59.9,91.9,1308.9,241.9,157.2,756,153.8
Himachal Pradesh,1929,109,52.3,17.6,48,24.9,101.7,363.9,423.7,50.3,57.3,0,176,1424.7,161.2,90.5,939.6,233.3
Himachal Pradesh,1930,98.8,64.1,52.7,87.7,28.2,120.8,424.5,307,77.7,13,5.2,25.7,1305.5,163,168.6,930,43.9
