,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
0,Chhattisgarh,1901,48.9,116.5,27.8,5.5,18.4,101.6,381.0,476.7,182.8,27.3,0.4,0.0,1387.0,165.4,51.7,1142.2,27.7,0,33.86666666666667,83.19999999999999
1,Chhattisgarh,1902,0.6,6.5,0.4,13.9,10.3,37.2,403.8,236.6,198.1,4.7,8.1,3.7,923.9,7.1,24.6,875.7,16.5,0,12.4,26.900000000000002
2,Chhattisgarh,1903,6.2,13.9,0.4,6.8,51.1,110.7,365.9,396.0,212.0,168.0,0.1,0.0,1331.2,20.1,58.3,1084.7,168.1,0,36.9,59.6
3,Chhattisgarh,1904,0.0,8.6,32.3,0.2,77.5,369.5,303.6,483.6,86.8,129.3,1.0,0.0,1492.4,8.6,110.0,1243.5,130.4,0,123.16666666666667,292.0
4,Chhattisgarh,1905,50.3,22.6,19.0,24.6,31.8,40.4,443.7,270.8,338.8,8.9,0.0,0.0,1251.1,72.9,75.5,1093.8,8.9,0,13.466666666666667,8.599999999999998
5,Chhattisgarh,1906,25.0,91.0,52.5,0.0,4.1,210.1,445.2,258.3,242.3,41.2,10.2,14.7,1394.6,115.9,56.7,1155.8,66.1,0,70.03333333333333,206.0
6,Chhattisgarh,1907,4.0,40.2,41.7,39.4,4.5,286.5,233.6,494.4,141.8,0.1,7.3,15.3,1308.8,44.3,85.6,1156.2,22.7,0,95.5,282.0
7,Chhattisgarh,1908,8.4,67.1,6.3,1.5,6.5,182.4,465.9,590.0,146.7,12.9,0.0,1.1,1488.7,75.4,14.3,1385.0,14.0,0,60.800000000000004,175.9
8,Chhattisgarh,1909,11.3,5.8,3.1,112.8,6.1,266.1,473.9,210.8,142.8,6.7,0.0,44.7,1284.1,17.1,122.0,1093.6,51.4,0,88.7,260.0
9,Chhattisgarh,1910,9.0,0.6,3.7,21.5,13.3,246.0,296.6,441.4,265.2,92.6,17.4,0.0,1407.2,9.5,38.6,1249.2,110.0,0,82.0,232.7
10,Chhattisgarh,1911,2.2,0.0,21.7,0.8,9.0,366.7,215.7,474.6,244.6,131.6,37.4,0.0,1504.1,2.2,31.5,1301.5,169.0,0,122.23333333333333,357.7
11,Chhattisgarh,1912,3.1,73.9,1.0,22.6,11.3,62.3,422.5,411.9,194.0,13.0,11.3,0.0,1227.0,77.0,34.9,1090.8,24.3,0,20.766666666666666,51.0
12,Chhattisgarh,1913,4.3,85.4,31.8,4.1,35.8,246.0,374.4,285.6,122.2,24.9,6.2,14.0,1234.6,89.7,71.7,1028.2,45.1,0,82.0,210.2
13,Chhattisgarh,1914,0.0,7.9,21.0,38.6,51.5,186.1,493.8,373.0,234.1,5.0,0.2,6.8,1418.1,7.9,111.1,1287.0,12.0,0,62.03333333333333,134.6
14,Chhattisgarh,1915,25.0,42.4,19.7,16.6,21.2,131.3,364.6,435.9,251.0,121.0,27.2,0.0,1455.9,67.4,57.6,1182.7,148.2,0,43.76666666666667,110.10000000000001
15,Chhattisgarh,1916,0.0,26.5,2.1,6.9,20.2,325.5,289.4,374.6,199.2,178.4,20.3,0.0,1443.0,26.5,29.1,1188.7,198.6,0,108.5,305.3
16,Chhattisgarh,1917,3.6,63.7,26.6,10.8,44.0,296.9,374.0,475.2,287.8,144.1,0.3,0.7,1727.7,67.3,81.4,1433.9,145.0,0,98.96666666666665,252.89999999999998
17,Chhattisgarh,1918,14.1,4.5,1.9,10.7,48.3,431.2,238.0,490.9,122.5,1.7,4.7,8.8,1377.2,18.6,60.9,1282.6,15.2,0,143.73333333333332,382.9
18,Chhattisgarh,1919,98.3,65.2,30.1,13.5,33.0,396.5,392.9,511.2,152.4,150.6,13.9,1.4,1859.0,163.5,76.6,1453.1,165.8,0,132.16666666666666,363.5
19,Chhattisgarh,1920,1.7,2.6,21.9,25.6,23.4,97.0,542.5,391.5,92.0,5.2,0.0,0.0,1203.4,4.3,70.9,1123.0,5.2,0,32.333333333333336,73.6
20,Chhattisgarh,1921,39.6,1.6,0.0,6.2,0.0,335.4,311.4,401.8,210.9,12.3,0.0,0.0,1319.4,41.2,6.2,1259.6,12.3,0,111.8,335.4
21,Chhattisgarh,1922,21.1,1.2,0.5,12.7,9.5,180.2,416.7,305.2,297.6,23.5,38.9,1.7,1308.8,22.3,22.7,1199.7,64.0,0,60.06666666666666,170.7
22,Chhattisgarh,1923,3.9,27.1,15.2,9.7,5.3,103.8,374.6,582.3,194.9,61.9,8.0,0.5,1387.2,31.0,30.3,1255.6,70.4,0,34.6,98.5
23,Chhattisgarh,1924,32.3,11.1,5.9,9.0,18.0,83.5,310.3,329.5,330.6,79.5,124.5,0.1,1334.2,43.4,32.9,1053.9,204.1,0,27.833333333333332,65.5
24,Chhattisgarh,1925,0.2,0.5,0.3,10.6,88.6,368.8,560.4,476.6,166.8,45.1,19.1,0.0,1737.1,0.7,99.5,1572.6,64.3,0,122.93333333333334,280.20000000000005
25,Chhattisgarh,1926,33.2,10.7,99.7,63.3,45.3,55.3,374.4,555.5,330.5,63.4,0.2,3.3,1634.9,43.9,208.3,1315.8,66.9,0,18.433333333333334,10.0
26,Chhattisgarh,1927,11.7,57.9,24.1,2.3,15.9,193.3,468.3,488.8,171.9,75.2,27.8,0.0,1537.1,69.6,42.2,1322.3,103.1,0,64.43333333333334,177.4
27,Chhattisgarh,1928,6.8,11.3,8.8,13.6,16.7,210.1,384.4,272.7,192.5,97.8,0.0,4.4,1219.2,18.1,39.2,1059.7,102.2,0,70.03333333333333,193.4
28,Chhattisgarh,1929,23.1,28.9,1.2,14.4,5.6,216.2,597.9,461.1,179.2,94.3,0.0,41.9,1663.8,51.9,21.2,1454.5,136.2,0,72.06666666666666,210.6
29,Chhattisgarh,1930,0.0,4.0,13.5,43.3,7.9,190.9,517.4,285.0,185.3,37.3,93.9,5.1,1383.5,4.0,64.7,1178.6,136.2,0,63.63333333333333,183.0
30,Chhattisgarh,1931,8.4,64.4,14.5,10.6,14.6,104.6,359.1,510.8,169.3,156.3,54.1,0.2,1467.0,72.7,39.8,1143.9,210.7,0,34.86666666666667,90.0
31,Chhattisgarh,1932,0.0,22.9,3.7,9.5,18.8,109.6,525.2,300.9,272.6,56.4,37.6,0.2,1357.6,22.9,32.1,1208.3,94.3,0,36.53333333333333,90.8
32,Chhattisgarh,1933,31.6,75.9,14.9,21.9,97.3,310.7,388.9,368.3,286.5,41.4,7.9,5.5,1650.6,107.5,134.1,1354.4,54.7,0,103.56666666666666,213.39999999999998
