,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
0,Sub Himalayan West Bengal & Sikkim,1901,26.5,14.8,14.1,29.2,195.5,488.4,524.8,501.1,242.7,55.5,17.9,2.6,2113.2,41.3,238.9,1757.0,76.1,0,162.79999999999998,292.9
1,Sub Himalayan West Bengal & Sikkim,1902,1.2,0.7,87.1,126.1,271.3,539.2,671.0,603.8,799.9,74.4,5.6,0.0,3180.4,1.9,484.6,2613.9,80.1,1,179.73333333333335,267.90000000000003
2,Sub Himalayan West Bengal & Sikkim,1903,5.5,8.7,19.6,18.6,163.6,541.2,431.5,708.8,365.2,141.3,0.3,0.0,2404.5,14.3,201.9,2046.7,141.6,0,180.4,377.6
3,Sub Himalayan West Bengal & Sikkim,1904,3.4,29.2,0.9,124.3,333.6,274.2,500.4,468.5,260.6,164.8,8.9,1.1,2169.9,32.5,458.8,1503.7,174.8,0,91.39999999999999,59.400000000000034
4,Sub Himalayan West Bengal & Sikkim,1905,12.0,31.2,51.9,104.4,290.6,524.8,523.1,1036.6,321.1,87.9,2.7,18.7,3005.0,43.2,447.0,2405.6,109.3,1,174.9333333333333,234.19999999999993
5,Sub Himalayan West Bengal & Sikkim,1906,9.3,49.2,30.4,13.0,198.1,438.0,706.4,816.0,208.6,140.5,8.0,0.4,2618.0,58.5,241.5,2169.0,149.0,0,146.0,239.9
6,Sub Himalayan West Bengal & Sikkim,1907,10.4,20.8,71.1,108.8,156.2,408.1,889.8,358.8,456.1,40.0,5.8,4.1,2530.0,31.2,336.1,2112.9,49.8,0,136.03333333333333,251.90000000000003
7,Sub Himalayan West Bengal & Sikkim,1908,10.6,32.9,9.8,53.8,315.0,368.6,449.1,268.5,441.6,36.0,2.3,0.0,1988.2,43.5,378.6,1527.8,38.3,0,122.86666666666667,53.60000000000002
8,Sub Himalayan West Bengal & Sikkim,1909,2.1,8.6,0.0,147.8,191.9,896.0,340.9,600.5,340.2,136.8,3.6,1.8,2670.1,10.7,339.7,2177.5,142.2,0,298.6666666666667,704.1
9,Sub Himalayan West Bengal & Sikkim,1910,2.5,17.4,73.2,47.4,170.4,833.7,859.8,489.2,353.1,188.0,11.2,0.2,3046.1,19.9,291.1,2535.7,199.3,1,277.90000000000003,663.3000000000001
10,Sub Himalayan West Bengal & Sikkim,1911,22.9,6.7,40.8,117.3,315.2,575.4,853.2,430.4,493.3,326.4,12.4,0.1,3194.2,29.7,473.3,2352.3,338.9,0,191.79999999999998,260.2
11,Sub Himalayan West Bengal & Sikkim,1912,2.3,12.0,81.8,134.7,277.3,397.8,743.5,553.3,335.6,133.0,121.9,0.5,2793.6,14.3,493.8,2030.1,255.4,0,132.6,120.5
12,Sub Himalayan West Bengal & Sikkim,1913,0.7,35.1,46.5,52.2,301.4,736.9,596.1,477.7,476.6,153.7,4.8,53.2,2935.1,35.9,400.1,2287.4,211.8,0,245.63333333333333,435.5
13,Sub Himalayan West Bengal & Sikkim,1914,2.2,70.0,9.1,139.2,247.7,402.2,351.3,741.7,392.8,43.0,14.8,0.3,2414.1,72.2,396.0,1887.9,58.0,0,134.06666666666666,154.5
14,Sub Himalayan West Bengal & Sikkim,1915,1.0,52.9,50.4,72.7,366.4,352.7,509.1,610.7,359.0,116.5,13.0,0.6,2504.9,53.9,489.5,1831.5,130.1,0,117.56666666666666,13.699999999999989
15,Sub Himalayan West Bengal & Sikkim,1916,6.6,17.6,8.7,165.3,305.4,649.0,1020.8,514.9,571.9,209.9,5.6,1.1,3476.8,24.2,479.4,2756.6,216.6,1,216.33333333333334,343.6
16,Sub Himalayan West Bengal & Sikkim,1917,1.0,21.4,15.1,23.4,226.1,619.4,740.5,410.5,428.0,354.3,1.7,0.4,2841.6,22.4,264.5,2198.4,356.3,0,206.46666666666667,393.29999999999995
17,Sub Himalayan West Bengal & Sikkim,1918,0.8,1.5,17.2,141.9,306.3,682.6,703.8,746.9,345.0,33.6,2.0,0.1,2981.4,2.2,465.3,2478.2,35.6,1,227.53333333333333,376.3
18,Sub Himalayan West Bengal & Sikkim,1919,19.6,5.0,5.5,93.4,177.8,558.0,704.0,285.9,518.2,170.5,6.1,0.4,2544.5,24.6,276.7,2066.1,177.0,0,186.0,380.2
19,Sub Himalayan West Bengal & Sikkim,1920,0.8,24.2,80.5,66.0,148.9,615.2,389.8,608.7,788.8,161.0,0.2,0.0,2884.1,25.1,295.3,2402.5,161.2,1,205.0666666666667,466.30000000000007
20,Sub Himalayan West Bengal & Sikkim,1921,37.9,6.0,54.9,157.4,503.1,589.2,970.2,521.4,479.6,183.8,2.7,7.1,3513.4,43.9,715.5,2560.4,193.7,1,196.4,86.10000000000002
21,Sub Himalayan West Bengal & Sikkim,1922,17.8,2.5,5.6,45.4,217.1,803.0,719.8,526.3,571.2,87.2,1.9,3.9,3001.9,20.4,268.1,2620.3,93.1,1,267.6666666666667,585.9
22,Sub Himalayan West Bengal & Sikkim,1923,0.0,40.2,3.8,104.2,336.5,536.9,656.3,228.1,504.1,76.5,0.6,1.7,2489.0,40.2,444.5,1925.4,78.9,0,178.96666666666667,200.39999999999998
23,Sub Himalayan West Bengal & Sikkim,1924,0.8,3.5,4.1,110.9,264.7,693.1,732.0,491.2,439.0,128.2,81.4,1.9,2950.9,4.3,379.7,2355.4,211.5,0,231.03333333333333,428.40000000000003
24,Sub Himalayan West Bengal & Sikkim,1925,3.0,6.1,13.1,261.6,284.6,554.1,446.0,664.5,568.6,69.3,14.8,0.8,2886.6,9.1,559.3,2233.3,84.9,0,184.70000000000002,269.5
25,Sub Himalayan West Bengal & Sikkim,1926,12.7,2.9,66.5,43.7,236.1,580.8,853.8,396.4,331.8,102.8,0.2,9.9,2637.7,15.6,346.4,2162.8,112.9,0,193.6,344.69999999999993
26,Sub Himalayan West Bengal & Sikkim,1927,21.0,33.9,56.4,44.5,300.4,682.1,518.1,408.4,543.5,107.3,16.3,0.3,2732.2,55.0,401.2,2152.0,124.0,0,227.36666666666667,381.70000000000005
27,Sub Himalayan West Bengal & Sikkim,1928,25.5,11.8,5.4,92.6,210.8,527.8,666.2,660.9,395.9,255.3,14.9,1.9,2868.9,37.3,308.9,2250.7,272.1,0,175.9333333333333,316.99999999999994
28,Sub Himalayan West Bengal & Sikkim,1929,49.7,2.0,37.9,126.4,235.0,594.0,554.5,392.6,400.9,513.5,10.5,14.3,2931.3,51.7,399.4,1942.0,538.3,0,198.0,359.0
29,Sub Himalayan West Bengal & Sikkim,1930,17.6,19.9,51.7,61.3,192.3,495.1,346.1,475.8,329.6,140.4,52.0,2.4,2184.5,37.5,305.4,1646.7,194.9,0,165.03333333333333,302.8
30,Sub Himalayan West Bengal & Sikkim,1931,2.8,9.7,28.2,98.6,296.3,523.7,793.8,408.7,585.3,112.1,12.7,4.5,2876.5,12.4,423.2,2311.6,129.3,0,174.5666666666667,227.40000000000003
31,Sub Himalayan West Bengal & Sikkim,1932,3.0,7.0,8.6,72.4,255.9,731.3,363.5,582.9,380.1,154.4,132.1,24.4,2715.6,10.0,336.9,2057.8,310.9,0,243.76666666666665,475.4
32,Sub Himalayan West Bengal & Sikkim,1933,16.5,9.4,0.5,112.4,206.0,565.3,653.3,512.3,284.1,149.3,3.9,1.1,2514.2,25.9,318.9,2015.0,154.4,0,188.4333333333333,359.29999999999995
33,Sub Himalayan West Bengal & Sikkim,1934,10.5,60.2,0.4,86.8,227.5,517.2,656.2,455.6,436.3,151.4,4.0,6.8,2612.9,70.7,314.7,2065.4,162.2,0,172.4,289.70000000000005
34,Sub Himalayan West Bengal & Sikkim,1935,9.5,28.4,16.6,24.2,248.9,609.2,365.4,935.1,521.7,18.0,6.3,1.8,2785.1,37.9,289.7,2431.5,26.1,1,203.0666666666667,360.30000000000007
35,Sub Himalayan West Bengal & Sikkim,1936,3.7,8.9,46.7,85.7,274.8,410.4,663.8,508.7,536.0,113.2,0.1,8.3,2660.3,12.5,407.3,2118.8,121.6,0,136.79999999999998,135.59999999999997
36,Sub Himalayan West Bengal & Sikkim,1937,0.0,68.6,2.2,63.7,270.2,317.2,477.3,654.0,354.8,351.6,6.7,2.0,2568.4,68.6,336.0,1803.4,360.4,0,105.73333333333333,47.0
